,name,ID,w,l,d,hw,hl,hd,aw,al,ad,totalMatches,goalsScored,goalsRecived,forma,formaA,formaH,goalRatio
0,Eintracht Frankfurt,10347,2.0,7.0,5.0,2.0,3.0,3.0,0.0,4.0,2.0,14.0,12.0,23.0,dlddlldwwlllld,lldlld,dddlwwll,0.5217391304347826
1,VfL Wolfsburg,10653,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0,wl,l,w,1.0
2,Hertha BSC,10437,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,w,,w,inf
3,Borussia Mgladbach,10307,7.0,6.0,3.0,7.0,1.0,1.0,0.0,5.0,2.0,16.0,33.0,30.0,lwdwlwllwllwdwwd,ldlllld,wwwlwwwwd,1.1
4,FC Augsburg,10269,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,dd,,dd,1.0
5,Hamburger SV,10419,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,dw,d,w,1.5
6,1. FC Koln,10476,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,lw,l,w,1.5
7,1. FSV Mainz 05,10388,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,ww,,ww,3.0
8,Borussia Dortmund,10303,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,2.0,ww,w,w,3.5
9,Bayer 04 Leverkusen,10281,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,1.0,ww,w,w,8.0
10,Manchester City,9259,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,w,,w,2.0
11,TSG 1899 Hoffenheim,10442,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,dd,,dd,1.0
12,FC Ingolstadt 04,10453,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,dd,dd,,1.0
13,VfB Stuttgart,10646,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,6.0,lw,lw,,0.6666666666666666
14,FC Schalke 04,10576,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,d,d,,
15,SV Werder Bremen,10677,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,7.0,ll,ll,,0.2857142857142857
16,SV Darmstadt 98,10329,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,lw,lw,,1.0
17,FC Bayern Munchen,10285,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,l,l,,0.3333333333333333
18,Sevilla CF,16175,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,l,l,,0.5
19,Hannover 96,10423,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,l,l,,0.5
