,gameID,actionID,away,home,sumAction
0,6258,2,9.0,4.0,13.0
1,6258,3,3.0,0.0,3.0
2,6258,4,17.0,2.0,19.0
3,6258,6,8.0,7.0,15.0
4,6258,7,13.0,13.0,26.0
5,6258,10,3.0,1.0,4.0
6,6258,11,6.0,5.0,11.0
7,6258,13,1.0,3.0,4.0
8,6258,15,76.0,88.0,164.0
9,6258,17,5.0,21.0,26.0
10,6258,18,25.0,17.0,42.0
11,6258,19,34.0,20.0,54.0
12,6258,21,3.0,1.0,4.0
13,6258,22,11.0,13.0,24.0
14,6258,23,7.0,3.0,10.0
15,6258,30,52.0,24.0,76.0
16,6258,31,9.0,2.0,11.0
17,6258,32,4.0,1.0,5.0
18,6258,33,4.0,5.0,9.0
19,6258,63,1.0,0.0,1.0
20,6258,64,2.0,0.0,2.0
21,6258,65,5.0,4.0,9.0
22,6258,75,5.0,4.0,9.0
23,6258,111,0.0,1.0,1.0
24,6258,114,0.0,1.0,1.0
25,6258,115,4.0,1.0,5.0
26,6258,116,2.0,0.0,2.0
27,6258,117,5.0,1.0,6.0
28,6258,118,6.0,1.0,7.0
29,6258,211,51.0,73.0,124.0
30,6258,212,2.0,3.0,5.0
31,6258,213,7.0,20.0,27.0
32,6258,214,2.0,0.0,2.0
33,6258,218,22.0,33.0,55.0
34,6258,220,0.0,1.0,1.0
35,6258,232,15.0,25.0,40.0
36,6258,247,512.0,537.0,1049.0
37,6258,248,112.0,107.0,219.0
38,6258,260,3.0,1.0,4.0
39,6258,261,8.0,11.0,19.0
40,6258,262,3.0,4.0,7.0
41,6258,274,7.0,2.0,9.0
42,6258,275,7.0,8.0,15.0
43,6258,276,2.0,0.0,2.0
44,6258,343,2.0,0.0,2.0
45,6258,371,24.0,21.0,45.0
46,6258,375,6.0,5.0,11.0
47,6261,2,5.0,6.0,11.0
48,6261,4,7.0,8.0,15.0
49,6261,6,5.0,16.0,21.0
50,6261,7,10.0,9.0,19.0
51,6261,10,6.0,3.0,9.0
52,6261,11,5.0,3.0,8.0
53,6261,13,4.0,3.0,7.0
54,6261,15,47.0,61.0,108.0
55,6261,17,10.0,5.0,15.0
56,6261,18,9.0,7.0,16.0
57,6261,19,86.0,70.0,156.0
58,6261,21,2.0,1.0,3.0
59,6261,22,17.0,17.0,34.0
60,6261,23,5.0,7.0,12.0
61,6261,30,31.0,25.0,56.0
62,6261,31,2.0,6.0,8.0
63,6261,32,1.0,1.0,2.0
64,6261,33,2.0,1.0,3.0
65,6261,63,0.0,1.0,1.0
66,6261,65,0.0,4.0,4.0
67,6261,75,4.0,4.0,8.0
68,6261,79,3.0,3.0,6.0
69,6261,80,3.0,1.0,4.0
70,6261,115,1.0,4.0,5.0
71,6261,116,0.0,1.0,1.0
72,6261,117,1.0,0.0,1.0
73,6261,118,2.0,1.0,3.0
74,6261,211,88.0,80.0,168.0
75,6261,212,3.0,3.0,6.0
76,6261,213,14.0,6.0,20.0
